"code";"label"
"MinerCat";"Miner Lib Cataloging Unit"
"MinerCirc";"Miner Lib Circulation Desk"
"MinerClos";"Miner Lib Closed Reserve - At Circulation Desk"
"MinerDigit";"Miner Lib Digital Library"
"MinerEd";"Miner Lib Education Services"
"Miner ERes";"Miner Lib Electronic Resources Acquisitions"
"MinerGovDc";"Miner Lib Government Documents Compact Shelving in Annex"
"MinerHist";"Miner Lib History of Medicine Reading Room"
"MinerHstRf";"Miner Lib History of Medicine Reference Collection"
"MinerILL";"Miner Lib Interlibrary Loan Office"
"MinerStor";"Miner Lib Journal Storage - Ask at Circulation Desk"
"MinerSer2";"Miner Lib Journals"
"MinerComp";"Miner Lib Journals Compact Shelving in Annex"
"MinerSer";"Miner Lib Journals Current 2 Years off Reading Room"
"MinerLrnCt";"Miner Lib Learning Center"
"MinerLrnCn";"Miner Lib Learning Center"
"MinerMicro";"Miner Lib Microfiche"
"MinerNewBk";"Miner Lib New Books Shelf"
"MinerRes";"Miner Lib Open Reserve"
"MinerFolio";"Miner Lib Oversize Books Before Books on Upper Level Stacks"
"MinerRare";"Miner Lib Rare Books & Archives - Ask at History Office"
"MinerRSer";"Miner Lib Rare Serials - Ask at History Office"
"MinerRdRm";"Miner Lib Reading Room"
"MinerRefBr";"Miner Lib Reference Bar"
"MinerRef1";"Miner Lib Reference Collection Ref 1"
"MinerRef10";"Miner Lib Reference Collection Ref 10"
"MinerRef11";"Miner Lib Reference Collection Ref 11"
"MinerRef12";"Miner Lib Reference Collection Ref 12"
"MinerRef13";"Miner Lib Reference Collection Ref 13"
"MinerRef14";"Miner Lib Reference Collection Ref 14"
"MinerRef15";"Miner Lib Reference Collection Ref 15"
"MinerRef16";"Miner Lib Reference Collection Ref 16"
"MinerRef17";"Miner Lib Reference Collection Ref 17"
"MinerRef18";"Miner Lib Reference Collection Ref 18"
"MinerRef19";"Miner Lib Reference Collection Ref 19"
"MinerRef2";"Miner Lib Reference Collection Ref 2"
"MinerRef20";"Miner Lib Reference Collection Ref 20 - Patient Collection"
"MinerRef21";"Miner Lib Reference Collection Ref 21"
"MinerRef3";"Miner Lib Reference Collection Ref 3"
"MinerRef4";"Miner Lib Reference Collection Ref 4"
"MinerRef5";"Miner Lib Reference Collection Ref 5"
"MinerRef6";"Miner Lib Reference Collection Ref 6"
"MinerRef7";"Miner Lib Reference Collection Ref 7"
"MinerRf7.5";"Miner Lib Reference Collection Ref 7.5"
"MinerRef8";"Miner Lib Reference Collection Ref 8"
"MinerRef9";"Miner Lib Reference Collection Ref 9"
"MinerRefOf";"Miner Lib Reference Office"
"MinReserve";"Miner Lib Reserve Processing"
"MinerSeria";"Miner Lib Serials Unit"
"MinerSoft";"Miner Lib Software - Ask at Circulation Desk"
"MinerSTS";"Miner Lib Technical Services Office"
"MinerTh2";"Miner Lib Theses Lower Level Stacks"
"MinerTh1";"Miner Lib Theses Off Reading Room"
"MinerWebSr";"Miner Lib Web Services Office"
"MinerXRf1";"Miner Lib X-Reference Collection In Annex X-Ref 1"
"MinerXRf10";"Miner Lib X-Reference Collection In Annex X-Ref 10"
"MinerXRf11";"Miner Lib X-Reference Collection In Annex X-Ref 11"
"MinerXRf12";"Miner Lib X-Reference Collection In Annex X-Ref 12"
"MinerXRf13";"Miner Lib X-Reference Collection In Annex X-Ref 13"
"MinerXRf14";"Miner Lib X-Reference Collection In Annex X-Ref 14"
"MinerXRf15";"Miner Lib X-Reference Collection In Annex X-Ref 15"
"MinerXRf16";"Miner Lib X-Reference Collection In Annex X-Ref 16"
"MinerXRf17";"Miner Lib X-Reference Collection In Annex X-Ref 17"
"MinerXRf18";"Miner Lib X-Reference Collection In Annex X-Ref 18"
"MinerXRf19";"Miner Lib X-Reference Collection In Annex X-Ref 19"
"MinerXRf2";"Miner Lib X-Reference Collection In Annex X-Ref 2"
"MinerXRf20";"Miner Lib X-Reference Collection In Annex X-Ref 20"
"MinerXRf21";"Miner Lib X-Reference Collection In Annex X-Ref 21"
"MinerXRf3";"Miner Lib X-Reference Collection In Annex X-Ref 3"
"MinerXRf4";"Miner Lib X-Reference Collection In Annex X-Ref 4"
"MinerXRf5";"Miner Lib X-Reference Collection In Annex X-Ref 5"
"MinerXRf6";"Miner Lib X-Reference Collection In Annex X-Ref 6"
"MinerXRf7";"Miner Lib X-Reference Collection In Annex X-Ref 7"
"MinerXR7.5";"Miner Lib X-Reference Collection In Annex X-Ref 7.5"
"MinerXRf8";"Miner Lib X-Reference Collection In Annex X-Ref 8"
"MinerXRf9";"Miner Lib X-Reference Collection In Annex X-Ref 9"
"MinerHShoe";"Miner Library Public Computing Horseshoe"
"MinOffsite";"Miner Offsite Storage - Use ""Request this item"" tab to order"
"MMCBrowse";"Multimedia Center Browse Rhees G122"
"MMC Browse";"Multimedia Center Browse Rhees G122"
"MMCG122s";"Multimedia Center Equipment"
"MMCG122";"Multimedia Center G122A"
"MMCG122B";"Multimedia Center G122B"
"MMCG122C";"Multimedia Center G122C"
"MMCG122E";"Multimedia Center G122E"
"MMCG122F";"Multimedia Center G122F"
"MMC Ser";"Multimedia Center Journals Rhees G122"
"MMC Ref";"Multimedia Center Reference Rhees G122"
"MMCResDsk";"Multimedia Center Reserve Desk Rhees G122"
"MMC Res";"Multimedia Center Reserves Rhees G122"
"MMCSpecial";"Multimedia Center Special FMS Collection--Restricted Loan"
"MMCStack";"Multimedia Center Stacks Rhees G122"
"MMCStck";"Multimedia Center Stacks Rhees G122 DO NOT USE"
"MMCStfOff";"Multimedia Center Staff Offices Rhees G122"
"MMCCirDsk";"Multimedia Circulation Desk Rhees G122"
"MMCCirProc";"Multimedia Circulation Processing"
"MMCG113";"Multimedia G113"
"MMCSplOver";"Multimedia Special FMS Collection Oversize--Restricted Loan"
"MMCStkOver";"Multimedia Stacks Oversize"
"ArtMuscOS";"Music Oversize - Art/Music Library"
"ArtMuscRef";"Music Reference - Art/Music Library"
"ArtMusicRR";"Music Stacks - Art/Music Library"
"NSRL Stack";"NSRL Circulating Books"
"NSRL Ref";"NSRL Reference"
"NetLibrary";"NetLibrary"
"BGILguide";"Newspaper and Microform Center - Guides"
"NewsMicro";"Newspaper and Microform Center - Microform"
"NewsNewspr";"Newspaper and Microform Center - Newspapers"
"NewsSuDoc";"Newspaper and Microform Center - SuDoc Fiche"
"TLC NUR";"Nursing School - Teaching Learning Center"
"OffsiteSta";"Offsite Shelving Facility - use ""Request This Item"""
"POA CDCase";"Physics-Optics-Astronomy Library CD Case"
"POA ChtCas";"Physics-Optics-Astronomy Library Chart Case"
