Odverem,AB
Ohaba,AB
Oidești,AB
Oiejdea,AB
Olteni,AB
Oncești,AB
Orăști,AB
Orgești,AB
Ormeniș,AB
Pădure,AB
Pădurea,AB
Păgida,AB
Pănade,AB
Păntești,AB
Păștești,AB
Pătrăhăițești,AB
Pătrângeni,AB
Pătrușești,AB
Pătruțești,AB
Pâclișa,AB
Pânca,AB
Pârău Gruiului,AB
Pârău lui Mihai,AB
Pârâu-Cărbunări,AB
Peleș,AB
Perjești,AB
Peste Valea Bistrii,AB
Petelei,AB
Petreasa,AB
Petreni,AB
Petrești,AB
Petrisat,AB
Pețelca,AB
Pianu de Jos,AB
Pianu de Sus,AB
Pirita,AB
Pitărcești,AB
Pițiga,AB
Plai (Avram Iancu),AB
Plai (Gârda de Sus),AB
Plaiuri,AB
Pleșcuța,AB
Pleșești,AB
Pleși,AB
Pliști,AB
Podu lui Paul,AB
Poduri,AB
Poduri-Bricești,AB
Poiana Aiudului,AB
Poiana Ampoiului,AB
Poiana (Bistra),AB
Poiana (Bucium),AB
Poiana Galdei,AB
Poiana (Sohodol),AB
Poiana Ursului,AB
Poiana Vadului,AB
Poieni (Blandiana),AB
Poieni (Bucium),AB
Poieni (Vidra),AB
Poienile-Mogoș,AB
Poienița (Arieșeni),AB
Poienița (Vințu de Jos),AB
Poiu,AB
Ponor,AB
Ponorel,AB
Popești,AB
Popeștii de Jos,AB
Popeștii de Sus,AB
Poșaga de Jos,AB
Poșaga de Sus,AB
Poșogani,AB
Potionci,AB
Preluca,AB
Prelucă,AB
Presaca Ampoiului,AB
Puiulețești,AB
Purcăreți,AB
Pușelești,AB
Rachiș,AB
Ravicești,AB
Răcătău,AB
Răchita,AB
Rădești,AB
Răhău,AB
Răicani,AB
Rătitiș,AB
Războieni-Cetate,AB
Râmeț,AB
Reciu,AB
Remetea,AB
Rimetea,AB
Robești,AB
Rogoz,AB
Roșești,AB
Roșia Montană,AB
Roșia de Secaș,AB
Runc (Ocoliș),AB
Runc (Scărișoara),AB
Runc (Vidra),AB
Runc (Zlatna),AB
Runcuri,AB
Rusești,AB
Ruși,AB
Sartăș,AB
Săgagea,AB
Sălăgești,AB
Sălciua de Jos,AB
Sălciua de Sus,AB
