"code";"label"
"MAGFolio";"Memorial Art Gallery"
"MAGIndex";"Memorial Art Gallery"
"MAGMulti";"Memorial Art Gallery"
"MAGMus";"Memorial Art Gallery"
"MAGRes";"Memorial Art Gallery"
"MAGRef";"Memorial Art Gallery"
"MAGOffice";"Memorial Art Gallery"
"MAGPer";"Memorial Art Gallery"
"MinerRef20";"Miner Library"
"MinerHShoe";"Miner Library"
"MinerSoft";"Miner Library"
"Miner ERes";"Miner Library"
"MinerSeria";"Miner Library"
"MinOffsite";"Miner Library"
"MinerClos";"Miner Library"
"MinerComp";"Miner Library"
"MinerDigit";"Miner Library"
"MinerEd";"Miner Library"
"MinerGovDc";"Miner Library"
"MinerHstRf";"Miner Library"
"MinerHist";"Miner Library"
"MinerNet";"Miner Library"
"MinerILL";"Miner Library"
"MinerSer";"Miner Library"
"MinerSer2";"Miner Library"
"MinerLrnCt";"Miner Library"
"MinerMicro";"Miner Library"
"MinerNewBk";"Miner Library"
"MinerRes";"Miner Library"
"MinerFolio";"Miner Library"
"MinerRSer";"Miner Library"
"MinerRare";"Miner Library"
"MinerRdRm";"Miner Library"
"MinerRef1";"Miner Library"
"MinerRef10";"Miner Library"
"MinerRef11";"Miner Library"
"MinerRef12";"Miner Library"
"MinerRef13";"Miner Library"
"MinerRef14";"Miner Library"
"MinerRef15";"Miner Library"
"MinerRef16";"Miner Library"
"MinerRef17";"Miner Library"
"MinerRef18";"Miner Library"
"MinerRef19";"Miner Library"
"MinerRef2";"Miner Library"
"MinerRef20";"Miner Library"
"MinerRef21";"Miner Library"
"MinerRef3";"Miner Library"
"MinerRef4";"Miner Library"
"MinerRef5";"Miner Library"
"MinerRef6";"Miner Library"
"MinerRef7";"Miner Library"
"MinerRf7.5";"Miner Library"
"MinerRef8";"Miner Library"
"MinerRef9";"Miner Library"
"MinerRefBr";"Miner Library"
"MinerRefOf";"Miner Library"
"MinerStor";"Miner Library"
"MinerSTS";"Miner Library"
"MinerTh1";"Miner Library"
"MinerTh2";"Miner Library"
"MinerWebSr";"Miner Library"
"MinReserve";"Miner Library"
"MinReview";"Miner Library"
"MinerLrnCn";"Miner Library"
"MinerAcq";"Miner Library"
"MinerAdmOf";"Miner Library"
"MinerStack";"Miner Library"
"MinerCat";"Miner Library"
"MinerCirc";"Miner Library"
"MinerHist";"Miner Library History of Medicine"
"MinerRSer";"Miner Library History of Medicine"
"MinerHstRf";"Miner Library History of Medicine"
"MinerRare";"Miner Library History of Medicine"
"MinerRef16";"Miner Library Reference"
"MinerRef17";"Miner Library Reference"
"MinerRef18";"Miner Library Reference"
"MinerRef19";"Miner Library Reference"
"MinerRef20";"Miner Library Reference"
"MinerRef21";"Miner Library Reference"
"MinerRef3";"Miner Library Reference"
"MinerRef4";"Miner Library Reference"
"MinerRef5";"Miner Library Reference"
"MinerRef6";"Miner Library Reference"
"MinerRef7";"Miner Library Reference"
"MinerRf7.5";"Miner Library Reference"
"MinerRef8";"Miner Library Reference"
"MinerRef9";"Miner Library Reference"
"MinerRef15";"Miner Library Reference"
"MinerRef14";"Miner Library Reference"
"MinerRef13";"Miner Library Reference"
"MinerRef12";"Miner Library Reference"
"MinerRef11";"Miner Library Reference"
"MinerRef10";"Miner Library Reference"
"MinerRef2";"Miner Library Reference"
"MinerRef1";"Miner Library Reference"
"MinerRes";"Miner Library Reserve"
"MinerClos";"Miner Library Reserve"
"MMCSpecial";"Multimedia Center"
"MMCG122s";"Multimedia Center"
"MMCG113";"Multimedia Center"
"MMCG122";"Multimedia Center"
"MMCG122B";"Multimedia Center"
"MMCG122C";"Multimedia Center"
"MMCG122E";"Multimedia Center"
"MMCG122F";"Multimedia Center"
"MMCSplOver";"Multimedia Center"
